"경기도 양평군 양평읍(4183025000)","37,546","37,546","2,430","3,708","3,718","4,174","5,508","6,538","6,301","3,318","1,572","269","10"
"경기도 양평군 강상면(4183031000)","10,081","10,081","638","900","697","839","1,469","1,622","2,076","1,247","516","76","1"
"경기도 양평군 강하면(4183032000)","4,802","4,802","140","186","297","320","416","766","1,430","860","327","58","2"
"경기도 양평군 양서면(4183033000)","13,766","13,766","578","947","985","1,095","1,615","2,466","3,159","1,906","873","141","1"
"경기도 양평군 옥천면(4183034000)","7,980","7,980","345","559","538","643","957","1,326","1,915","1,098","519","80","0"
"경기도 양평군 서종면(4183035000)","9,817","9,817","453","884","524","664","1,375","1,765","2,241","1,303","513","95","0"
"경기도 양평군 단월면(4183036000)","3,902","3,902","82","218","184","233","370","640","1,098","649","374","52","2"
"경기도 양평군 청운면(4183037000)","3,712","3,712","65","124","178","186","288","631","1,034","721","403","81","1"
"경기도 양평군 양동면(4183038000)","4,514","4,514","99","187","222","258","337","724","1,327","813","440","104","3"
"경기도 양평군 지평면(4183039500)","6,604","6,604","175","298","364","347","539","1,051","1,904","1,138","652","132","4"
"경기도 양평군 용문면(4183040000)","18,355","18,355","935","1,592","1,398","1,607","2,264","3,058","3,748","2,250","1,301","197","5"
"경기도 양평군 개군면(4183041000)","5,080","5,080","151","290","307","297","533","823","1,357","818","426","75","3"
