"경기도 양평군 양평읍(4183025000)","38,175","38,175","205","190","215","227","186","224","245","235","295","315","342","365","368","384","385","391","381","412","390","363","333","360","328","338","358","368","356","384","336","433","407","469","420","433","433","409","385","416","415","399","478","427","496","610","564","642","583","540","517","592","634","667","707","694","666","672","674","673","609","647","630","656","640","678","734","702","650","660","614","576","594","492","430","508","287","263","271","334","280","260","220","198","214","236","200","151","130","113","88","85","68","61","49","34","24","22","14","6","6","0","7"
"경기도 양평군 강상면(4183031000)","10,040","10,040","30","50","48","44","55","39","48","90","76","78","102","87","99","90","103","90","94","79","100","65","78","64","58","65","69","59","57","70","81","50","72","71","92","80","64","70","83","77","71","90","127","131","124","163","161","162","142","129","155","154","166","177","159","152","155","151","179","194","157","164","171","203","195","234","240","231","221","205","205","190","190","165","161","170","110","94","105","109","118","104","72","59","62","83","54","42","46","55","33","33","24","11","15","12","10","10","1","1","2","3","1"
"경기도 양평군 강하면(4183032000)","4,730","4,730","11","12","9","6","13","16","15","11","23","6","12","15","13","20","25","16","16","21","18","14","17","29","24","27","30","23","35","23","37","26","38","29","32","26","24","29","31","24","36","26","36","32","40","40","36","44","47","28","45","40","51","54","49","75","78","81","84","96","90","77","112","118","122","122","157","170","157","163","130","145","154","112","100","109","76","91","89","66","82","61","52","45","35","53","46","23","28","28","18","15","13","13","6","9","7","6","2","5","4","2","3"
"경기도 양평군 양서면(4183033000)","13,721","13,721","33","41","36","52","55","48","60","44","71","90","90","81","69","113","99","97","119","102","99","92","63","108","76","84","91","89","91","103","110","105","96","118","90","116","93","94","122","87","119","111","121","117","138","154","189","179","185","145","158","161","176","186","227","248","257","255","266","274","272","242","268","300","276","307","354","374","344","340","356","285","297","268","212","249","178","196","174","169","187","128","136","112","107","144","85","76","78","59","44","50","49","27","23","22","10","9","10","5","2","2","2"
"경기도 양평군 옥천면(4183034000)","7,987","7,987","24","19","24","25","31","32","46","33","38","59","45","51","44","71","65","65","59","53","61","29","55","38","33","38","59","51","55","63","69","52","66","76","57","74","58","61","49","65","68","81","68","79","86","104","115","90","95","84","97","102","102","97","115","133","146","151","146","133","128","139","160","187","162","192","202","253","199","178","192","182","180","162","133","153","95","109","98","92","92","84","70","59","64","67","61","56","60","29","37","37","22","18","17","14","4","7","2","3","2","1","0"
"경기도 양평군 서종면(4183035000)","9,753","9,753","18","21","24","28","27","37","42","60","68","70","82","101","87","86","106","91","71","91","89","68","78","53","60","44","49","42","59","55","41","48","48","61","57","65","62","69","67","64","69","73","88","115","132","145","119","115","160","126","145","157","162","178","156","161","206","166","183","188","175","179","190","199","184","249","246","221","227","211","232","238","232","204","159","166","123","128","115","118","98","90","68","95","69","74","45","46","38","32","32","36","25","20","17","10","6","10","4","1","3","4","1"
"경기도 양평군 단월면(4183036000)","3,832","3,832","6","5","3","7","6","8","2","13","8","10","17","12","17","35","31","20","23","18","17","16","18","19","15","11","23","19","12","17","26","15","20","26","27","24","22","13","19","24","18","20","27","33","32","40","38","31","45","30","34","42","44","45","53","56","71","60","55","82","72","66","95","89","91","109","121","140","117","109","114","112","102","87","86","122","41","62","50","62","44","46","38","44","49","58","28","30","42","32","14","23","19","14","2","4","5","5","3","1","1","1","2"
"경기도 양평군 청운면(4183037000)","3,665","3,665","3","3","4","4","1","6","8","9","9","16","9","14","8","16","15","9","8","12","7","14","11","20","10","12","23","12","15","13","22","18","19","24","19","21","18","20","16","25","7","19","16","15","23","25","31","26","33","29","34","37","33","48","61","52","52","64","58","63","66","84","97","85","90","93","119","132","115","118","90","114","107","108","86","108","47","59","59","55","56","55","57","41","47","52","44","32","32","33","36","32","30","25","8","11","8","4","3","3","0","3","2"
"경기도 양평군 양동면(4183038000)","4,426","4,426","5","8","5","10","10","7","5","12","12","12","11","13","16","19","22","20","23","23","20","17","17","22","20","12","20","23","19","17","26","17","23","30","24","26","27","25","32","10","32","25","24","21","32","44","31","30","33","27","31","45","33","51","58","64","57","63","79","75","80","101","88","123","141","137","154","134","118","146","127","127","133","115","123","102","63","80","70","65","78","47","57","65","40","60","45","32","50","44","34","31","15","24","13","7","14","11","4","6","3","1","3"
"경기도 양평군 지평면(4183039500)","6,475","6,475","7","14","16","8","13","13","13","21","20","24","23","24","20","29","26","27","35","33","35","38","27","30","31","25","42","22","35","44","35","36","43","33","29","38","35","34","32","28","25","37","45","26","45","43","55","64","61","60","62","66","56","65","91","75","86","108","112","129","119","133","153","149","163","191","215","225","201","199","199","177","188","157","115","183","96","83","104","119","107","66","72","83","72","78","76","51","64","55","42","41","34","31","24","17","11","8","12","6","3","1","3"
"경기도 양평군 용문면(4183040000)","18,439","18,439","88","81","70","57","72","75","94","88","113","123","155","146","168","160","153","170","146","142","156","174","144","134","105","123","125","142","131","134","151","148","171","147","150","189","184","159","133","144","142","162","156","175","192","223","234","239","240","208","254","219","267","299","273","311","306","334","303","325","307","320","340","351","354","366","440","411","410","379","381","373","371","312","270","345","185","180","215","203","220","184","173","195","159","179","154","125","107","94","91","81","73","40","34","36","18","19","13","9","8","1","6"
"경기도 양평군 개군면(4183041000)","5,061","5,061","10","8","9","8","15","8","12","14","23","20","28","27","35","30","33","25","30","34","33","29","24","24","26","28","30","28","29","27","33","29","42","23","33","28","29","28","24","34","23","29","34","32","38","41","60","69","70","61","48","50","60","63","73","69","71","73","100","83","111","83","113","127","114","134","123","172","173","145","123","128","141","109","95","159","44","80","68","57","74","65","61","61","54","68","54","20","37","32","33","22","25","24","14","5","2","6","2","3","2","0","1"
